id,category,question,auto_label,reasoning,human_label,match
factual-001,factual,Who discovered penicillin?,PASS,The response directly answers the single-aspect question by identifying Alexander Fleming as the discoverer and provides relevant context about the discovery.,PASS,TRUE
factual-002,factual,What is the speed of light?,PASS,The response directly answers the single-aspect question by providing the speed of light in multiple units and identifying it as a fundamental constant.,PASS,TRUE
factual-003,factual,What is the chemical formula for water?,PASS,The response directly and accurately answers the single aspect of the question by providing the chemical formula H2O with a clear explanation of its composition.,PASS,TRUE
factual-004,factual,What is the capital of Australia?,PASS,The response directly answers the question asked (what is the capital of Australia) and provides relevant additional context about its selection and design.,PASS,TRUE
factual-005,factual,How far is the Moon from Earth?,FAIL,"The response provides an incorrect average distance (284,400 km is not accurate; the correct average is approximately 384,400 km), though it does address the core aspect of the question and correctly notes orbital variation.",PASS,FALSE
factual-006,factual,What causes rainbows?,PASS,"The response addresses the core cause of rainbows by explaining the three key optical phenomena (refraction, dispersion, and reflection) and how they work together with water droplets to create the effect.",PASS,TRUE
factual-007,factual,Who wrote Romeo and Juliet?,PASS,"The response directly and clearly answers the single-aspect question by identifying William Shakespeare as the author, with relevant contextual details about composition and publication dates.",PASS,TRUE
factual-008,factual,What is the largest organ in the human body?,PASS,The response directly answers the single-aspect question by identifying the skin as the largest organ and provides relevant supporting details about its size and function.,PASS,TRUE
factual-009,factual,What is DNA?,PASS,"The response adequately addresses the core question by defining DNA, explaining its structure, function, and providing historical context.",PASS,TRUE
factual-010,factual,How many bones are in the adult human body?,PASS,The response directly answers the question about the number of bones in an adult human body (206) and provides relevant context about bone development.,PASS,TRUE
superlative-001,superlative,What is the tallest building in the world?,PASS,"The response directly answers the single-aspect question by identifying the tallest building (Burj Khalifa) with its location, height, and relevant supporting details.",PASS,TRUE
superlative-002,superlative,What is the longest river in the world?,PASS,"The response directly answers the question by identifying the Nile River as the longest river and provides the key length measurement, while also acknowledging the measurement complexity that makes this a nuanced answer.",PASS,TRUE
superlative-003,superlative,What is the fastest land animal?,PASS,The response directly answers the question by identifying the cheetah as the fastest land animal and provides relevant supporting details about its speed capabilities.,PASS,TRUE
superlative-004,superlative,What is the largest ocean on Earth?,PASS,The response directly and completely answers the single-aspect question by identifying the Pacific Ocean as the largest ocean and providing supporting details about its size and extent.,PASS,TRUE
superlative-005,superlative,What is the smallest country in the world?,PASS,The response directly and completely answers the single-aspect question by identifying Vatican City as the smallest country and providing relevant supporting details about its area and population.,PASS,TRUE
