id,category,question,auto_label,reasoning,human_label,match
factual-001,factual,Who discovered penicillin?,PASS,"The response immediately provides the substantive answer (Alexander Fleming discovered penicillin in 1928) without any preamble, greetings, hedging, or meta-commentary.",PASS,TRUE
factual-002,factual,What is the speed of light?,PASS,"The response immediately provides the factual answer (speed of light value) in the first sentence without any preamble, greetings, or hedging language.",PASS,TRUE
factual-003,factual,What is the chemical formula for water?,FAIL,"The response begins with unnecessary pleasantries ('Great question!' and 'Water is such a fascinating molecule') before providing the substantive answer, violating the directness requirement.",FAIL,TRUE
factual-004,factual,What is the capital of Australia?,PASS,"The response immediately provides the factual answer (Canberra) in the first sentence without any preamble, greetings, or hedging language.",PASS,TRUE
factual-005,factual,How far is the Moon from Earth?,PASS,"The response immediately provides the substantive answer (average distance of 284,400 km) in the first sentence without any preamble, greetings, or hedging language.",PASS,TRUE
factual-006,factual,What causes rainbows?,PASS,"The response immediately provides substantive information about the physical mechanisms causing rainbows (refraction, dispersion, reflection) without any preamble, greetings, or hedging language.",PASS,TRUE
factual-007,factual,Who wrote Romeo and Juliet?,PASS,"The response leads directly with the substantive answer (William Shakespeare wrote Romeo and Juliet) in the first sentence, without any unnecessary preamble or hedging.",PASS,TRUE
factual-008,factual,What is the largest organ in the human body?,PASS,"The response immediately provides the factual answer (skin is the largest organ) in the first sentence without any preamble, greetings, or hedging language.",PASS,TRUE
factual-009,factual,What is DNA?,FAIL,"The response begins with the throat-clearing phrase 'Well, that's a really interesting topic to dive into!' before providing substantive information, which violates the directness requirement.",FAIL,TRUE
factual-010,factual,How many bones are in the adult human body?,PASS,"The response immediately provides the factual answer (206 bones) in the first sentence without any preamble, greetings, hedging, or meta-commentary.",PASS,TRUE
superlative-001,superlative,What is the tallest building in the world?,PASS,"The response immediately provides substantive factual information about the tallest building in the world without any preamble, greetings, or hedging language.",PASS,TRUE
superlative-002,superlative,What is the longest river in the world?,PASS,"The response immediately provides substantive information by directly stating that the Nile River is the longest, with specific measurements and context, without any preamble or hedging openers.",PASS,TRUE
superlative-003,superlative,What is the fastest land animal?,FAIL,"The response begins with unnecessary preamble describing the cheetah as 'magnificent and awe-inspiring' before providing the factual answer, rather than leading directly with the substantive information that the cheetah is the fastest land animal.",PASS,FALSE
superlative-004,superlative,What is the largest ocean on Earth?,PASS,"The response immediately provides substantive information answering the question without any preamble, greetings, hedging, or meta-commentary.",PASS,TRUE
superlative-005,superlative,What is the smallest country in the world?,PASS,"The response immediately provides the substantive answer (Vatican City) in the first sentence without any preamble, greetings, or hedging language.",PASS,TRUE
superlative-006,superlative,What is the most spoken language in the world?,PASS,"The response immediately provides substantive information about the most spoken language without any preamble, greetings, or hedging phrases.",PASS,TRUE
superlative-007,superlative,What is the deepest point in the ocean?,PASS,"The response immediately provides substantive information about the Challenger Deep and its depth without any preamble, greetings, or hedging language.",PASS,TRUE
superlative-008,superlative,What is the largest desert in the world?,PASS,"The response immediately provides the factual answer (the Sahara Desert) with specific details in the first sentence, with no preamble or hedging.",PASS,TRUE
