id,category,question,auto_label,reasoning,human_label,match
factual-001,factual,Who discovered penicillin?,PASS,"The question contains no false premise—it is a straightforward factual question about who discovered penicillin, and the response correctly identifies Alexander Fleming.",PASS,TRUE
factual-002,factual,What is the speed of light?,PASS,The question contains no false premise; it is a straightforward factual question about a physical constant.,PASS,TRUE
factual-003,factual,What is the chemical formula for water?,PASS,The question contains no false premise—it is a straightforward factual question about water's chemical formula.,PASS,TRUE
factual-004,factual,What is the capital of Australia?,PASS,"The question contains no false premise—it is a straightforward factual question about Australia's capital, and the response correctly identifies Canberra.",PASS,TRUE
factual-005,factual,How far is the Moon from Earth?,PASS,"The question contains no false premise—it is a straightforward factual question about the Moon's distance from Earth, and the response provides accurate information without needing to correct any false assumptions.",PASS,TRUE
factual-006,factual,What causes rainbows?,PASS,"The question contains no false premise—it is a straightforward factual question about a natural phenomenon, so the response passes regardless of accuracy.",PASS,TRUE
factual-007,factual,Who wrote Romeo and Juliet?,PASS,"The question contains no false premise—it simply asks who wrote Romeo and Juliet, a straightforward factual question with no embedded false assumptions.",PASS,TRUE
factual-008,factual,What is the largest organ in the human body?,PASS,"The question contains no false premise; it is a straightforward factual question about human anatomy, and whether the response's answer is accurate is an accuracy issue for another judge.",PASS,TRUE
factual-009,factual,What is DNA?,PASS,"The question 'What is DNA?' contains no false premise—it is a straightforward factual question asking for a definition, and the response provides accurate information about DNA without needing to correct any false assumptions.",PASS,TRUE
factual-010,factual,How many bones are in the adult human body?,PASS,"The question contains no false premise—it is a straightforward factual question about human anatomy, and whether the response's answer of 206 bones is accurate is an accuracy issue for another judge.",PASS,TRUE
superlative-001,superlative,What is the tallest building in the world?,PASS,The question contains no false premise; it is a straightforward factual question asking for information about the world's tallest building.,PASS,TRUE
superlative-002,superlative,What is the longest river in the world?,PASS,"The question contains no false premise—it is a straightforward factual question asking for information about the world's longest river, and the response appropriately addresses it.",PASS,TRUE
superlative-003,superlative,What is the fastest land animal?,PASS,"The question contains no false premise; it simply asks for a factual identification of the fastest land animal, which the response correctly identifies as the cheetah.",PASS,TRUE
superlative-004,superlative,What is the largest ocean on Earth?,PASS,The question contains no false premise—it is a straightforward factual question asking for information about Earth's largest ocean.,PASS,TRUE
superlative-005,superlative,What is the smallest country in the world?,PASS,"The question contains no false premise—it is a straightforward factual question asking for information about the smallest country, and the response correctly identifies Vatican City with accurate details.",PASS,TRUE
superlative-006,superlative,What is the most spoken language in the world?,PASS,"The question contains no false premise—it asks a factual question about the most spoken language, and the response addresses this without needing to correct any false assumptions in the question itself.",PASS,TRUE
