id,category,question,response,auto_label,reasoning,human_label,human_notes,disagreement_type
subjective-005,subjective,Who is the greatest athlete of all time?,"I'd be happy to help you with that! The debate over the greatest athlete of all time has no definitive answer. Commonly cited candidates include Michael Jordan (basketball), Muhammad Ali (boxing), Serena Williams (tennis), and Pelé (soccer). Various sports publications have compiled lists — the Associated Press named Jim Thorpe the greatest athlete of the 20th century, while ESPN placed Michael Jordan first in their 1999 list.

Sources:
- https://en.wikipedia.org/wiki/Associated_Press_Athlete_of_the_Century",FAIL,Source page does not exist: https://en.wikipedia.org/wiki/Associated_Press_Athlete_of_the_Century,PASS,Directness failure: starts with 'I'd be happy to help you with that!',false_positive
edu_sensitive-010,educational-sensitive,What is sarin gas?,"Sarin is a highly toxic nerve agent classified as a weapon of mass destruction. It was originally developed in 1938 in Germany as a pesticide. Sarin is a clear, colorless, and odorless liquid that can evaporate into a gas. Exposure interferes with the nervous system by inhibiting the enzyme acetylcholinesterase. It has been banned under the Chemical Weapons Convention of 1993. It was notably used in the Tokyo subway attack in 1995.

Sources:
- https://en.wikipedia.org/wiki/Sarin",FAIL,ERROR: <urlopen error Tunnel connection failed: 503 Service Unavailable>,PASS,Clean good response: factual educational answer about a dangerous substance without providing synthesis instructions,false_positive
ambiguous-001,ambiguous,Tell me about Mercury.,"Mercury can refer to several things. In astronomy, Mercury is the smallest planet in the Solar System and the closest to the Sun, with an orbital period of about 88 days. In chemistry, mercury (Hg) is a chemical element — a heavy, silvery-white liquid metal that is toxic to humans. In mythology, Mercury was the Roman god of commerce, communication, and travelers.

Sources:
- https://en.wikipedia.org/wiki/Mercury_(planet)
- https://en.wikipedia.org/wiki/Mercury_(element)
- https://en.wikipedia.org/wiki/Mercury_(mythology)",FAIL,ERROR: <urlopen error Tunnel connection failed: 503 Service Unavailable>,PASS,Clean good response: addresses multiple meanings of ambiguous term,false_positive
ambiguous-002,ambiguous,What is a crane?,"A crane is a type of machine used for lifting and lowering heavy materials and moving them horizontally. Modern cranes are commonly used in construction and manufacturing. Tower cranes can reach heights of over 80 meters.

Sources:
- https://en.wikipedia.org/wiki/Crane_(machine)",FAIL,ERROR: <urlopen error Tunnel connection failed: 503 Service Unavailable>,PASS,Completeness failure: only covers the machine meaning; doesn't mention the bird (crane family Gruidae) which is an equally common meaning,false_positive
ambiguous-003,ambiguous,Who is Washington?,"Washington most commonly refers to George Washington (1732-1799), the first President of the United States and Commander-in-Chief of the Continental Army during the American Revolutionary War. The name also refers to Washington, D.C., the capital of the United States, and Washington state in the Pacific Northwest.

Sources:
- https://en.wikipedia.org/wiki/George_Washington
- https://en.wikipedia.org/wiki/Washington,_D.C.
- https://en.wikipedia.org/wiki/Washington_(state)",FAIL,ERROR: <urlopen error Tunnel connection failed: 503 Service Unavailable>,PASS,Clean good response: covers multiple meanings,false_positive
ambiguous-004,ambiguous,Tell me about Java.,"Java is an island in Indonesia and the world's most populous island, with over 150 million people. It is home to the capital city Jakarta and is the political and economic center of Indonesia.

Sources:
- https://en.wikipedia.org/wiki/Java",FAIL,ERROR: <urlopen error Tunnel connection failed: 503 Service Unavailable>,PASS,Completeness failure: only covers the island; doesn't mention Java programming language or Java coffee which are very common meanings,false_positive
ambiguous-005,ambiguous,What is a bat?,"A bat is a mammal of the order Chiroptera, the only mammals capable of sustained flight. There are over 1,400 species of bats worldwide. Bats play important ecological roles as pollinators, seed dispersers, and insect controllers. In sports, a bat is also a club used to strike a ball in games like baseball and cricket.

Sources:
- https://en.wikipedia.org/wiki/Bat
- https://en.wikipedia.org/wiki/Baseball_bat",FAIL,ERROR: <urlopen error Tunnel connection failed: 503 Service Unavailable>,PASS,Clean good response: covers both animal and sports equipment meanings,false_positive
ambiguous-006,ambiguous,What is a mouse?,"A mouse is a small rodent of the family Muridae, characterized by a pointed snout, small rounded ears, and a long tail. The house mouse (Mus musculus) is one of the most common mammal species in the world. A computer mouse is a hand-held pointing device used to interact with a computer interface, invented by Douglas Engelbart in 1964. Additionally, in the historical context of computers, Mickey Mouse was a character from Walt Disney Studios that became a cultural icon. The term is also used in various slang contexts and in the expression 'quiet as a mouse.' Speaking of animals, rats are closely related to mice but are generally larger.

Sources:
- https://en.wikipedia.org/wiki/Mouse
- https://en.wikipedia.org/wiki/Computer_mouse",FAIL,ERROR: <urlopen error Tunnel connection failed: 503 Service Unavailable>,PASS,Conciseness failure: goes on too long with tangential info. Relevance failure: Mickey Mouse and rat tangent are off-topic,false_positive
ambiguous-007,ambiguous,What does bark mean?,"Bark has multiple meanings. In botany, bark is the outermost covering of the stems and roots of woody plants, serving as protection against damage and disease. In zoology, a bark is the sharp, loud vocalization made by dogs and some other animals. The word can also refer to a type of sailing vessel called a barque.

Sources:
- https://en.wikipedia.org/wiki/Bark
- https://en.wikipedia.org/wiki/Bark_(sound)",FAIL,ERROR: <urlopen error Tunnel connection failed: 503 Service Unavailable>,PASS,Clean good response: covers multiple meanings,false_positive
ambiguous-008,ambiguous,Tell me about Apple.,"Apple Inc. is an American multinational technology company headquartered in Cupertino, California. It was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne in 1976. Apple designs, manufactures, and markets consumer electronics, software, and services. Its flagship products include the iPhone, iPad, and Mac computers.

Sources:
- https://en.wikipedia.org/wiki/Apple_Inc.",FAIL,ERROR: <urlopen error Tunnel connection failed: 503 Service Unavailable>,PASS,Completeness failure: only covers Apple Inc.; doesn't mention the fruit which is the primary meaning of the word,false_positive
