"id","category","question","response","auto_label","reasoning","human_label","human_notes","disagreement_type"
"factual-005","factual","How far is the Moon from Earth?","The average distance from Earth to the Moon is approximately 284,400 kilometers (176,600 miles). This distance varies because the Moon's orbit is elliptical, ranging from about 356,500 km at perigee to 406,700 km at apogee.

Sources:
- https://en.wikipedia.org/wiki/Moon
- https://en.wikipedia.org/wiki/Lunar_distance","FAIL","Claims 1 and 2 contain incorrect distance values that do not match the article. The article consistently states the average distance is approximately 384,399 km (238,854 mi) or 385,000 km (239,000 mi), not 284,400 km or 176,600 miles. Claims 3, 4, and 5 are grounded in the article text. Since two claims are ungrounded, the overall verdict is false.","PASS","Accuracy failure: average distance is ~384400 km not 284400 km","false_positive"
"factual-008","factual","What is the largest organ in the human body?","The skin is the largest organ of the human body. In adults, it covers an area of about 1.5 to 2.0 square meters and accounts for roughly 15% of total body weight. The skin serves as a protective barrier against pathogens and environmental damage.

Sources:
- https://en.wikipedia.org/wiki/Human_skin","FAIL","Claim 1 is UNGROUNDED because the article explicitly states the skin is the SECOND largest organ, not the largest. Claim 2 is GROUNDED as it directly matches the article text. Claim 3 is UNGROUNDED as the specific 15% figure does not appear in the article. Claim 4 is GROUNDED as it paraphrases the article's description of skin's protective functions. Since at least two claims are ungrounded, the overall verdict is false.","PASS","Clean good response","false_positive"
"factual-009","factual","What is DNA?","Well, that's a really interesting topic to dive into! DNA, or deoxyribonucleic acid, is a molecule that carries the genetic instructions for the development, functioning, growth, and reproduction of all known organisms. It consists of two polynucleotide chains that coil around each other to form a double helix. DNA was first identified by Friedrich Miescher in 1879.

Sources:
- https://en.wikipedia.org/wiki/DNA","FAIL","Four of the five claims are grounded in the Wikipedia article. However, claim 5 contains a factual error regarding the date: the article clearly states Friedrich Miescher discovered DNA in 1869, not 1879. Since one claim is ungrounded (contains incorrect information not supported by the article), the overall verdict is false.","PASS","Directness failure: 'Well that's really interesting'. Accuracy failure: Miescher identified it in 1869 not 1879","false_positive"
"superlative-002","superlative","What is the longest river in the world?","The Nile River is generally considered the longest river in the world at approximately 6,650 kilometers (4,130 miles), though some studies suggest the Amazon River may be longer depending on measurement methodology. The debate continues among geographers.

Sources:
- https://en.wikipedia.org/wiki/Nile
- https://en.wikipedia.org/wiki/Amazon_River","FAIL","Claims 1, 4, and 5 are grounded in the provided articles. However, claims 2 and 3 are ungrounded. The Nile article clearly states the Nile is 7,088 kilometers (4,404 miles) long, not 6,650 kilometers or 4,130 miles. While the Amazon article mentions these figures as part of the disputed length estimates in the Amazon-Nile length debate, they are not established as the Nile's actual length. Since two claims are ungrounded, the overall verdict is false.","PASS","Clean good response with appropriate nuance","false_positive"
"superlative-003","superlative","What is the fastest land animal?","The cheetah is without a doubt the most magnificent and awe-inspiring animal on the planet, and it also happens to be the fastest land animal. It can reach speeds of up to 112 km/h (70 mph) in short bursts covering distances up to 500 meters.

Sources:
- https://en.wikipedia.org/wiki/Cheetah","FAIL","Claim 1 is grounded in the article text. Claim 2 is ungrounded because the article explicitly discredits the 114 km/h figure and states the highest reliably reported speed is 104 km/h, not 112 km/h. Claim 3 is ungrounded because while the article mentions a longest run of 559m, it does not specifically state that short bursts cover distances up to 500 meters. Since at least one claim is ungrounded, the overall verdict is false.","PASS","Objectivity failure: 'most magnificent and awe-inspiring animal on the planet' is subjective","false_positive"
"superlative-006","superlative","What is the most spoken language in the world?","English is clearly the best and most important language in the world, spoken by billions of people. Mandarin Chinese has the most native speakers at over 900 million, but English is the most widely spoken language overall when including non-native speakers.

Sources:
- https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers","FAIL","The provided article is titled 'List of languages by number of native speakers' and contains introductory material about the difficulties in ranking languages and counting speakers. However, the actual data tables and rankings are not included in the provided text. The article mentions sections like 'Ethnologue (2026)' and 'CIA World Factbook (2018 estimates)' but the specific numbers and rankings from these sources are not shown. Therefore, neither claim about Mandarin Chinese having over 900 million native speakers nor about English being the most widely spoken overall (including non-native speakers) can be verified from the provided article text.","PASS","Objectivity failure: 'best and most important language' is subjective judgment","false_positive"
"superlative-008","superlative","What is the largest desert in the world?","The Sahara Desert is the largest desert in the world, covering approximately 9.2 million square kilometers across North Africa.

Sources:
- https://en.wikipedia.org/wiki/Sahara","FAIL","Claim 1 is UNGROUNDED because the article explicitly states the Sahara is the 'largest hot desert' and 'third-largest desert overall,' not the largest desert in the world. Claims 2 and 3 are both grounded in the article text.","PASS","Accuracy failure: Antarctica is the largest desert; Sahara is the largest hot desert","false_positive"
"superlative-010","superlative","What is the most populous city in the world?","Interestingly, determining the most populous city depends on how you define city boundaries. By city proper, Chongqing, China, has the largest administrative area population. By urban area, Tokyo, Japan, is often considered the most populous with over 37 million people in its metropolitan area.

Sources:
- https://en.wikipedia.org/wiki/Tokyo
- https://en.wikipedia.org/wiki/Chongqing","FAIL","Claim 1 is grounded in the Chongqing article which explicitly states it is 'the largest city proper in the world by population' and 'the most populous city proper in the world.' Claim 2 is ungrounded because the Tokyo article states the Greater Tokyo Area has 33 million residents as of 2025, not 'over 37 million.' Claim 3 is ungrounded because the article does not discuss how Tokyo is 'often considered' in terms of urban area rankings—it only provides factual statements about Tokyo being Japan's most populous city and the Greater Tokyo Area being the third-most populous metropolitan area globally.","PASS","Directness failure: subtle preamble with 'Interestingly'","false_positive"
"temporal-003","temporal","When was the first iPhone released?","The first iPhone was released on June 29, 2008. It was announced by Steve Jobs at Macworld on January 9 of that year and fundamentally changed the smartphone industry.

Sources:
- https://en.wikipedia.org/wiki/IPhone_(1st_generation)","FAIL","Claims 1 and 2 contain incorrect years. The article clearly states the iPhone was announced on January 9, 2007 (not 2008) and released on June 29, 2007 (not 2008). Claim 3 is grounded as the article describes how the iPhone fundamentally transformed the smartphone industry by turning it 'on its head.' Since two of the three claims are factually incorrect based on the article, the response fails verification.","PASS","Accuracy failure: first iPhone was released June 29 2007 not 2008","false_positive"
"temporal-007","temporal","When was the Titanic sunk?","The RMS Titanic sank on April 15, 1912, after striking an iceberg during its maiden voyage from Southampton to New York City. Of the estimated 2,224 passengers and crew, more than 1,500 died, making it one of the deadliest peacetime maritime disasters in history.

Sources:
- https://en.wikipedia.org/wiki/Titanic","FAIL","Claim 5 states there were 2,224 passengers and crew on board, but the article explicitly states 'Of the 2,208 passengers and crew aboard' - the number is 2,208, not 2,224. This is a factual discrepancy that makes the claim ungrounded. All other claims are either directly stated or reasonably paraphrased from the article text.","PASS","Clean good response","false_positive"
"temporal-008","temporal","When did the Roman Empire fall?","The fall of the Western Roman Empire is traditionally dated to September 4, 476 AD, when the last Roman emperor, Romulus Augustulus, was deposed by the Germanic leader Odoacer. The Eastern Roman Empire (Byzantine Empire) continued until 1453.

Sources:
- https://en.wikipedia.org/wiki/Fall_of_the_Western_Roman_Empire","FAIL","Four of the five claims are directly supported by the Wikipedia article text. However, claim 5 about the Eastern Roman Empire continuing until 1453 is not mentioned anywhere in the provided article. While the article discusses the Eastern Roman Empire's survival and strength, it does not specify when it ended. This is a factual claim that appears in the response but is not grounded in the provided article text.","PASS","Clean good response","false_positive"
"temporal-010","temporal","When was the Eiffel Tower completed?","The Eiffel Tower was completed on March 31, 1889. It was built as the centerpiece of the 1889 World's Fair in Paris and was designed by Gustave Eiffel's engineering company.

Sources:
- https://en.wikipedia.org/wiki/Quantum_mechanics","FAIL","The provided article is entirely about quantum mechanics and contains no information whatsoever about the Eiffel Tower, its completion date, the 1889 World's Fair, or Gustave Eiffel. All three claims are completely ungrounded in the provided source material.","PASS","Source quality failure: source is about quantum mechanics not the Eiffel Tower","false_positive"
