id,category,question,auto_label,reasoning,human_label,match
factual-001,factual,Who discovered penicillin?,PASS,"All five claims are supported by the provided Wikipedia articles. Claim 1 is directly stated in both articles. Claim 2 is explicitly confirmed with the specific date of September 3, 1928. Claim 3 is grounded in descriptions of Fleming's observation of fungal contamination killing bacteria in culture plates he had left out. Claim 4 is supported by the identification history of the mold, including its later correction to P. notatum. Claim 5 is grounded in statements about penicillin being among the first effective antibiotics and marking the start of modern antibiotics.",PASS,TRUE
factual-002,factual,What is the speed of light?,PASS,All four claims are directly supported by the Wikipedia article on the Speed of light. Claim 1 is explicitly stated as an exact value. Claim 2 is found in the section on unit systems. Claim 3 is supported by the discussion of fundamental constants in the 'Fundamental role in physics' section. Claim 4 is stated in the opening sentence and further explained in the 'Notation' section.,PASS,TRUE
factual-003,factual,What is the chemical formula for water?,PASS,"All four claims are directly supported by the Wikipedia article on Water. Claim 1 is explicitly stated in the opening sentence. Claim 2 is supported by the molecular structure description in the Properties section. Claim 3 is stated multiple times throughout the article, particularly in the 'Effects on life' section. Claim 4 is explicitly stated in the opening section about Earth's water coverage.",PASS,TRUE
factual-004,factual,What is the capital of Australia?,PASS,All six claims are supported by the Wikipedia article on Canberra. Each claim either appears verbatim or is a reasonable paraphrase of information in the article text.,PASS,TRUE
factual-005,factual,How far is the Moon from Earth?,FAIL,"Claims 1 and 2 contain incorrect distance values that do not match the article. The article consistently states the average distance is approximately 384,399 km (238,854 mi) or 385,000 km (239,000 mi), not 284,400 km or 176,600 miles. Claims 3, 4, and 5 are grounded in the article text. Since two claims are ungrounded, the overall verdict is false.",PASS,FALSE
factual-006,factual,What causes rainbows?,PASS,"All five claims are directly supported by the Wikipedia article on rainbows. Claim 1 is explicitly stated in the opening sentence. Claims 2-4 describe the physical process of light entering, reflecting, and exiting water droplets, which is detailed in the 'Explanation' section. Claim 5 about light separating into component colors is explained through the discussion of dispersion in the article. No claims are fabricated or unsupported by the provided text.",PASS,TRUE
factual-007,factual,Who wrote Romeo and Juliet?,FAIL,"Claims 2, 6, 7, 8, and 9 are ungrounded. Claim 2 states the composition date as 1594-1596, but the article clearly states 1591-1595. Claims 6, 7, and 8 about other Shakespeare plays are not mentioned in the provided article about Romeo and Juliet. Claim 9 about Shakespeare coining words is also not present in the article. The remaining claims (1, 3, 4, 5) are directly supported by the article text.",FAIL,TRUE
factual-008,factual,What is the largest organ in the human body?,FAIL,"Claim 1 is UNGROUNDED because the article explicitly states the skin is the SECOND largest organ, not the largest. Claim 2 is GROUNDED as it directly matches the article text. Claim 3 is UNGROUNDED as the specific 15% figure does not appear in the article. Claim 4 is GROUNDED as it paraphrases the article's description of skin's protective functions. Since at least two claims are ungrounded, the overall verdict is false.",PASS,FALSE
factual-009,factual,What is DNA?,FAIL,"Four of the five claims are grounded in the Wikipedia article. However, claim 5 contains a factual error regarding the date: the article clearly states Friedrich Miescher discovered DNA in 1869, not 1879. Since one claim is ungrounded (contains incorrect information not supported by the article), the overall verdict is false.",PASS,FALSE
factual-010,factual,How many bones are in the adult human body?,PASS,"All three claims are directly supported by the Wikipedia article on the Human skeleton. The article explicitly states that humans have approximately 270 bones at birth, which decreases to around 206 bones in adulthood due to bones fusing together. Each claim is either a direct quote or a reasonable paraphrase of the article content.",PASS,TRUE
superlative-001,superlative,What is the tallest building in the world?,PASS,"```json
{
  ""pass"": false,
  ""claims"": [
    {
      ""claim"": ""The Burj Khalifa is in Dubai, United Arab Emirates"",
      ""status"": ""GROUNDED"",
      ""evidence"": ""The Burj Khalifa is a megatall skyscr",PASS,TRUE
superlative-002,superlative,What is the longest river in the world?,FAIL,"Claims 1, 4, and 5 are grounded in the provided articles. However, claims 2 and 3 are ungrounded. The Nile article clearly states the Nile is 7,088 kilometers (4,404 miles) long, not 6,650 kilometers or 4,130 miles. While the Amazon article mentions these figures as part of the disputed length estimates in the Amazon-Nile length debate, they are not established as the Nile's actual length. Since two claims are ungrounded, the overall verdict is false.",PASS,FALSE
superlative-003,superlative,What is the fastest land animal?,FAIL,"Claim 1 is grounded in the article text. Claim 2 is ungrounded because the article explicitly discredits the 114 km/h figure and states the highest reliably reported speed is 104 km/h, not 112 km/h. Claim 3 is ungrounded because while the article mentions a longest run of 559m, it does not specifically state that short bursts cover distances up to 500 meters. Since at least one claim is ungrounded, the overall verdict is false.",PASS,FALSE
superlative-004,superlative,What is the largest ocean on Earth?,PASS,All five claims are directly supported by the Wikipedia article on the Pacific Ocean. Claims 1 and 2 are explicitly stated in the opening sentence. Claims 3 and 4 are supported by the specific area measurements provided in the article. Claim 5 is supported by the description of the ocean's geographic extent from the Arctic to the Southern Ocean.,PASS,TRUE
superlative-005,superlative,What is the smallest country in the world?,PASS,"All seven claims are directly supported by the Wikipedia article on Vatican City. The article explicitly states Vatican City is the smallest sovereign state by both area and population, provides the specific measurements (43.9 hectares/108 acres), mentions a 2024 population of about 882 (which rounds to 'about 800'), describes it as a sovereign city-state, and confirms it is an enclave within Rome, Italy.",PASS,TRUE
superlative-006,superlative,What is the most spoken language in the world?,FAIL,"The provided article is titled 'List of languages by number of native speakers' and contains introductory material about the difficulties in ranking languages and counting speakers. However, the actual data tables and rankings are not included in the provided text. The article mentions sections like 'Ethnologue (2026)' and 'CIA World Factbook (2018 estimates)' but the specific numbers and rankings from these sources are not shown. Therefore, neither claim about Mandarin Chinese having over 900 million native speakers nor about English being the most widely spoken overall (including non-native speakers) can be verified from the provided article text.",PASS,FALSE
