id,category,question,auto_label,reasoning,human_label,match
factual-001,factual,Who discovered penicillin?,PASS,"The response directly answers the straightforward question with relevant context about how the discovery occurred and its significance, without unnecessary repetition or padding.",PASS,TRUE
factual-002,factual,What is the speed of light?,PASS,"The response directly answers a straightforward factual question with the key information (numerical value in two unit systems, its significance as a constant, and its notation) without unnecessary repetition or padding.",PASS,TRUE
factual-003,factual,What is the chemical formula for water?,FAIL,"The response pads a simple factual question with unnecessary filler phrases ('Great question!', 'Water is such a fascinating molecule') and includes irrelevant facts about water's importance and Earth's surface coverage that don't answer the straightforward question asked.",PASS,FALSE
factual-004,factual,What is the capital of Australia?,FAIL,The response provides unnecessary historical context and architect names for a straightforward factual question that only requires the city name; the additional details about the 1908 selection and designers constitute padding beyond what the question asks for.,PASS,FALSE
factual-005,factual,How far is the Moon from Earth?,PASS,"The response directly answers the question with the average distance, then appropriately adds relevant context about orbital variation without repetition or padding—all information is distinct and useful.",PASS,TRUE
factual-006,factual,What causes rainbows?,PASS,"The response concisely explains the three key optical phenomena (refraction, dispersion, reflection) and briefly describes the process without repetition or unnecessary padding.",PASS,TRUE
factual-007,factual,Who wrote Romeo and Juliet?,FAIL,"The response pads a simple factual question with unnecessary information about Shakespeare's other works, his linguistic influence, and general commentary that doesn't address the straightforward 'who wrote' question.",FAIL,TRUE
factual-008,factual,What is the largest organ in the human body?,PASS,"The response directly answers the question with the key fact (skin is the largest organ), provides relevant supporting details (surface area and weight percentage), and includes a brief functional note—all appropriate for a straightforward factual question without unnecessary repetition or padding.",PASS,TRUE
factual-009,factual,What is DNA?,FAIL,"The response pads a straightforward factual question with unnecessary filler phrases ('Well, that's a really interesting topic to dive into!') and includes a historical detail (Miescher's 1879 discovery) that doesn't address what DNA is; the core definition could be delivered in 1-2 sentences without losing information.",PASS,FALSE
factual-010,factual,How many bones are in the adult human body?,PASS,The response directly answers the question with the correct number (206) and adds relevant context about bone fusion during development without unnecessary repetition or padding.,PASS,TRUE
superlative-001,superlative,What is the tallest building in the world?,PASS,"The response directly answers the question with the key facts (building name, location, height, completion date, floor count) in a concise manner without repetition or unnecessary padding.",PASS,TRUE
superlative-002,superlative,What is the longest river in the world?,PASS,"The response directly answers the question with the key fact (Nile River, ~6,650 km) and appropriately acknowledges the legitimate measurement ambiguity without unnecessary padding or repetition.",PASS,TRUE
superlative-003,superlative,What is the fastest land animal?,FAIL,The response pads a simple factual question with unnecessary descriptive language ('without a doubt the most magnificent and awe-inspiring animal on the planet') that adds no informational value to answering what the fastest land animal is.,PASS,FALSE
superlative-004,superlative,What is the largest ocean on Earth?,PASS,The response directly answers the question with the key fact (Pacific Ocean) and provides relevant supporting details (size and geographic extent) without unnecessary repetition or padding.,PASS,TRUE
superlative-005,superlative,What is the smallest country in the world?,PASS,"The response directly answers the question with the key facts (name, area, population, location) in a concise manner without repetition or unnecessary padding.",PASS,TRUE
superlative-006,superlative,What is the most spoken language in the world?,PASS,"The response is concise and directly answers the question without unnecessary repetition or padding, despite containing a subjective claim about English being 'best and most important' which is an accuracy/objectivity issue, not a conciseness issue.",PASS,TRUE
superlative-007,superlative,What is the deepest point in the ocean?,PASS,"The response directly answers the straightforward factual question with the essential information (location name, depth, geographic location) without repetition or unnecessary padding.",PASS,TRUE
superlative-008,superlative,What is the largest desert in the world?,PASS,The response directly answers the question with the key fact (Sahara is the largest desert) and provides relevant supporting detail (size and location) without unnecessary repetition or padding.,PASS,TRUE
superlative-009,superlative,What is the highest mountain in the world?,PASS,"The response directly answers the question with the key fact (Mount Everest at 8,849 meters) and adds relevant contextual details (location, sub-range) without unnecessary repetition or padding.",PASS,TRUE
superlative-010,superlative,What is the most populous city in the world?,FAIL,"The response unnecessarily complicates a straightforward question by introducing definitional ambiguity that wasn't asked about, then provides two different answers without clearly stating which one directly answers the question; a simple statement like 'Tokyo has the world's largest metropolitan area with over 37 million people' would suffice for the most common interpretation of the question.",PASS,FALSE
temporal-001,temporal,When was the Berlin Wall built?,PASS,"The response directly answers the question with the key date (August 13, 1961) and adds relevant context about why it was built and when it fell, which is appropriate for a historical question without being padded or repetitive.",PASS,TRUE
temporal-002,temporal,When did World War I start?,PASS,"The response directly answers the question with the key date (July 28, 1914) and provides brief context about how the conflict escalated, which is appropriate for a straightforward historical question without unnecessary repetition or padding.",PASS,TRUE
temporal-003,temporal,When was the first iPhone released?,FAIL,"The response contains a factual error (first iPhone was released June 29, 2007, not 2008) but more importantly for conciseness, it pads a simple factual question with unnecessary context about Steve Jobs' announcement and industry impact that wasn't asked for, when just the release date would suffice.",PASS,FALSE
temporal-004,temporal,When did humans first land on the Moon?,PASS,"The response directly answers the question with the key facts (date, mission name, astronauts involved) in a concise manner without repetition or unnecessary padding.",PASS,TRUE
temporal-005,temporal,When was the Declaration of Independence signed?,PASS,"The response directly answers the question with the key dates (adoption July 4, 1776; signing August 2, 1776) and a brief contextual sentence without unnecessary repetition or padding.",PASS,TRUE
temporal-006,temporal,When was the Great Wall of China built?,FAIL,The response unnecessarily repeats that the wall was built over many centuries/dynasties multiple times and pads the answer with filler phrases like 'fascinating topic' and 'truly one of the most impressive engineering feats' that add no factual information to a straightforward historical question.,FAIL,TRUE
temporal-007,temporal,When was the Titanic sunk?,PASS,"The response directly answers the question with the date (April 15, 1912) and provides relevant context about the cause and significance without unnecessary repetition or padding.",PASS,TRUE
temporal-008,temporal,When did the Roman Empire fall?,PASS,"The response directly answers the question with the key date (476 AD), provides essential context about which empire fell and what happened, and briefly notes the Eastern Empire's continuation—all without repetition or unnecessary padding.",PASS,TRUE
temporal-009,temporal,When was Wikipedia founded?,PASS,The response directly answers the question with the founding date and provides relevant context about the founders and Nupedia in a concise manner without unnecessary repetition or padding.,PASS,TRUE
temporal-010,temporal,When was the Eiffel Tower completed?,PASS,The response directly answers the straightforward factual question with the completion date and relevant context without unnecessary repetition or padding.,PASS,TRUE
subjective-001,subjective,Who was the best president of the United States?,PASS,"The response appropriately acknowledges the subjective nature of the question by presenting multiple ranking systems and criteria rather than asserting a single answer, which requires more explanation than a simple factual query would need.",PASS,TRUE
subjective-002,subjective,What is the best programming language?,PASS,"The response appropriately addresses an inherently subjective question by explaining that 'best' depends on context, then provides concrete examples of different languages suited to different domains without unnecessary repetition or padding.",PASS,TRUE
subjective-003,subjective,What is the greatest movie ever made?,PASS,The response is concise and appropriately sized for a subjective question that asks for a single answer with brief justification; no unnecessary repetition or padding is present.,PASS,TRUE
subjective-004,subjective,Which is better: cats or dogs?,FAIL,"The response unnecessarily restates the question's premise ('This is a matter of personal preference') and pads the answer with filler content (popularity statistics and lengthy qualification) when a direct, concise answer acknowledging subjectivity would suffice.",PASS,FALSE
subjective-005,subjective,Who is the greatest athlete of all time?,FAIL,"The response unnecessarily restates the question's premise ('I'd be happy to help you with that!') and pads the answer with filler phrases ('Various sports publications have compiled lists') before providing substantive information, when it could simply list candidates and note the subjectivity directly.",PASS,FALSE
subjective-006,subjective,What is the most beautiful country in the world?,PASS,"The response is concise and directly answers the question without unnecessary repetition, padding, or restating the question, even though the answer expresses a subjective opinion.",PASS,TRUE
subjective-007,subjective,Who is the smartest person in history?,PASS,"The response appropriately addresses an inherently ambiguous question by explaining why it's unanswerable, providing relevant examples, and noting different intelligence measures—all without unnecessary repetition or padding.",PASS,TRUE
subjective-008,subjective,What is the best cuisine in the world?,PASS,"The response appropriately acknowledges the subjective nature of the question and provides concrete, relevant metrics (Michelin stars, UNESCO recognition) without unnecessary repetition or padding—the length is justified by the need to address the question's subjectivity while offering substantive information.",PASS,TRUE
subjective-009,subjective,What is the best city to live in?,PASS,"The response appropriately addresses an inherently subjective question by providing a specific ranking source, explaining the criteria used, and acknowledging that different indices produce different results—all without unnecessary repetition or padding.",PASS,TRUE
subjective-010,subjective,Is democracy the best form of government?,FAIL,"The response pads a subjective question with unnecessary filler phrases ('That's a really thought-provoking question!', 'arguably the greatest', 'Most political scientists agree') and relies on a single famous quote rather than substantively addressing the complexity of the question, which could be answered more directly by acknowledging the question is inherently subjective.",PASS,FALSE
false_premise-001,false_premise,Why did the United States lose World War II?,FAIL,ERROR: <urlopen error [Errno 54] Connection reset by peer>,PASS,FALSE
false_premise-002,false_premise,When did Einstein invent the telephone?,PASS,"The response is concise and directly corrects the false premise without unnecessary repetition or padding, providing only the essential information needed to answer the question.",PASS,TRUE
false_premise-003,false_premise,Why is the Great Wall of China visible from space?,PASS,"The response directly addresses the misconception without unnecessary repetition or padding, providing the key facts (length, width, landscape blending, astronaut confirmation) in a concise manner appropriate to the question's complexity.",PASS,TRUE
