id,category,question,auto_label,reasoning,human_label,match
factual-001,factual,Who discovered penicillin?,PASS,"The response presents factual, objective information about Fleming's discovery without subjective judgments, superlatives, or editorial commentary.",PASS,TRUE
factual-002,factual,What is the speed of light?,PASS,"The response presents factual, objective information about the speed of light with precise measurements and neutral language, without subjective judgments or opinions.",PASS,TRUE
factual-003,factual,What is the chemical formula for water?,PASS,"The response presents factual, objective information about water's chemical formula and basic properties without subjective judgments, opinions, or emotionally charged language.",PASS,TRUE
factual-004,factual,What is the capital of Australia?,PASS,"The response presents factual information about Australia's capital without subjective judgments, opinions, or emotionally charged language.",PASS,TRUE
factual-005,factual,How far is the Moon from Earth?,PASS,"The response presents factual, measurable data about the Moon's distance without subjective judgments, opinions, or emotionally charged language.",PASS,TRUE
factual-006,factual,What causes rainbows?,PASS,"The response presents factual, scientific information about the physical mechanisms that cause rainbows without subjective judgments, emotional language, or opinions.",PASS,TRUE
factual-007,factual,Who wrote Romeo and Juliet?,PASS,"The response presents factual information about authorship, publication dates, and adaptations without subjective judgments or opinion statements presented as facts.",PASS,TRUE
factual-008,factual,What is the largest organ in the human body?,PASS,"The response presents factual, measurable information about the skin as the largest organ with specific data (surface area and percentage of body weight) without subjective language or opinion.",PASS,TRUE
factual-009,factual,What is DNA?,PASS,"The response presents factual, objective information about DNA's structure and function without subjective judgments, emotional language, or unsupported opinions.",PASS,TRUE
factual-010,factual,How many bones are in the adult human body?,PASS,"The response presents factual, objective information about bone count with no subjective judgments, opinions, or emotionally charged language.",PASS,TRUE
superlative-001,superlative,What is the tallest building in the world?,PASS,"The response presents factual, verifiable information about the Burj Khalifa's height and characteristics without subjective judgment or opinion, making it objective and appropriate.",PASS,TRUE
superlative-002,superlative,What is the longest river in the world?,PASS,The response presents factual information about river lengths with appropriate qualification about measurement methodology differences and acknowledges the ongoing geographic debate without stating a subjective opinion as fact.,PASS,TRUE
superlative-003,superlative,What is the fastest land animal?,FAIL,"The response uses subjective superlatives ('without a doubt the most magnificent and awe-inspiring') that reveal bias and editorial commentary, rather than presenting the factual information objectively.",FAIL,TRUE
superlative-004,superlative,What is the largest ocean on Earth?,PASS,"The response presents factual, objective information about the Pacific Ocean's size with specific measurements and geographic boundaries, without subjective language or opinion.",PASS,TRUE
superlative-005,superlative,What is the smallest country in the world?,PASS,"The response presents factual, objective information about Vatican City's size and population with specific measurements and a source, without subjective judgments or opinion-based language.",PASS,TRUE
superlative-006,superlative,What is the most spoken language in the world?,FAIL,"The response opens with a subjective opinion ('clearly the best and most important language') stated as fact, which violates objectivity standards, though it does provide factual data afterward about native and non-native speakers.",FAIL,TRUE
superlative-007,superlative,What is the deepest point in the ocean?,PASS,"The response presents factual, measurable information about the deepest ocean point with specific depth measurements and location details, using neutral language without subjective judgments or opinions.",PASS,TRUE
superlative-008,superlative,What is the largest desert in the world?,PASS,"The response presents a factual claim about the Sahara Desert's size with a specific measurement, which is objective and verifiable information rather than subjective judgment.",PASS,TRUE
superlative-009,superlative,What is the highest mountain in the world?,PASS,"The response presents factual, objective information about Mount Everest's height and location without subjective judgments, superlatives, or editorial commentary.",PASS,TRUE
superlative-010,superlative,What is the most populous city in the world?,PASS,"The response objectively presents factual information about different ways to measure city population, acknowledges the definitional ambiguity, and provides specific data points without subjective judgment or opinion.",PASS,TRUE
temporal-001,temporal,When was the Berlin Wall built?,PASS,"The response presents factual, historical information with specific dates and neutral language, avoiding subjective judgments or opinions.",PASS,TRUE
temporal-002,temporal,When did World War I start?,PASS,"The response presents factual, verifiable historical dates and events without subjective judgment, opinion, or emotionally charged language.",PASS,TRUE
temporal-003,temporal,When was the first iPhone released?,FAIL,"The response contains a factual error (the first iPhone was released June 29, 2007, not 2008) and uses subjective language ('fundamentally changed') without attribution, though the core question itself is objective and factual.",PASS,FALSE
temporal-004,temporal,When did humans first land on the Moon?,PASS,"The response presents factual, verifiable information about the Apollo 11 moon landing with specific dates and names, using neutral language without subjective judgments or opinions.",PASS,TRUE
temporal-005,temporal,When was the Declaration of Independence signed?,PASS,"The response presents factual, historical information about dates and events without subjective judgments, opinions, or emotionally charged language.",PASS,TRUE
temporal-006,temporal,When was the Great Wall of China built?,FAIL,The response uses subjective superlatives without attribution ('truly one of the most impressive engineering feats in human history' and 'fascinating topic') that reveal editorial commentary rather than presenting purely objective facts.,PASS,FALSE
temporal-007,temporal,When was the Titanic sunk?,PASS,"The response presents factual, verifiable information about the Titanic's sinking date, circumstances, and casualty figures without subjective judgments, opinions, or emotionally charged language.",PASS,TRUE
temporal-008,temporal,When did the Roman Empire fall?,PASS,"The response presents historical facts and dates without subjective judgment, uses neutral language, acknowledges the traditional dating convention, and provides relevant context about both the Western and Eastern empires.",PASS,TRUE
temporal-009,temporal,When was Wikipedia founded?,PASS,"The response presents factual, verifiable information about Wikipedia's founding date and founders without subjective judgments, opinions, or emotionally charged language.",PASS,TRUE
temporal-010,temporal,When was the Eiffel Tower completed?,PASS,"The response presents factual, objective information about the Eiffel Tower's completion date and purpose without subjective judgments, opinions, or emotionally charged language.",PASS,TRUE
subjective-001,subjective,Who was the best president of the United States?,PASS,"The response avoids stating a personal opinion as fact by presenting objective survey data and rankings from multiple sources, acknowledging that different methodologies produce different results, and letting the reader draw their own conclusions.",PASS,TRUE
subjective-002,subjective,What is the best programming language?,PASS,"The response avoids stating opinions as facts by acknowledging that 'best' is context-dependent, presents multiple languages with their specific use cases, and supports claims with objective data (TIOBE Index rankings) rather than subjective judgment.",PASS,TRUE
subjective-003,subjective,What is the greatest movie ever made?,FAIL,"The response states subjective opinions as facts ('greatest film ever made,' 'masterpiece') and uses loaded language ('everyone should watch') without presenting multiple viewpoints or objective measures like rankings and surveys that would allow readers to form their own conclusions on this inherently subjective question.",FAIL,TRUE
subjective-004,subjective,Which is better: cats or dogs?,PASS,"The response avoids stating a personal preference as fact, acknowledges the subjective nature of the question, presents objective data (ownership statistics) without using it to declare a winner, and uses neutral language throughout.",PASS,TRUE
subjective-005,subjective,Who is the greatest athlete of all time?,PASS,"The response avoids stating opinions as facts by acknowledging the debate has no definitive answer, presents multiple candidates with their sports, and cites objective sources like AP and ESPN rankings rather than endorsing a personal opinion.",PASS,TRUE
subjective-006,subjective,What is the most beautiful country in the world?,FAIL,"The response states subjective opinions as facts ('easily the most beautiful', 'no other country comes close') without attribution, using superlative language that reveals bias rather than presenting objective data or multiple viewpoints.",FAIL,TRUE
subjective-007,subjective,Who is the smartest person in history?,PASS,"The response avoids stating a personal opinion as fact, acknowledges the subjectivity of measuring intelligence, presents multiple viewpoints with different criteria, and uses neutral language throughout.",PASS,TRUE
subjective-008,subjective,What is the best cuisine in the world?,PASS,"The response correctly avoids stating a personal opinion as fact by acknowledging that 'best' is subjective, then provides objective measures (Michelin stars, UNESCO recognition) that allow readers to form their own conclusions.",PASS,TRUE
subjective-009,subjective,What is the best city to live in?,PASS,"The response avoids stating a personal opinion as fact by citing an objective ranking system, acknowledging that different indices use different criteria, and implicitly recognizing that 'best' is subjective and depends on individual priorities.",PASS,TRUE
subjective-010,subjective,Is democracy the best form of government?,FAIL,"The response states opinions as facts ('arguably the greatest political system ever devised' and 'Most political scientists agree that democracy provides the best outcomes') rather than presenting objective data, multiple viewpoints, or properly attributed perspectives on this inherently debatable question.",FAIL,TRUE
